,traders.co.jp_url,銘柄名,銘柄ID,前日終値,PER,PBR,時価総額,発行済株数,自己資本比率,200日移動平均,200日移動平均乖離率,13週移動平均,13週移動平均乖離率
110,https://www.traders.co.jp/stocks/62_6775/,ＴＢグループ,6775,164,,2.43,1630000000,11000000,0.5128,161.0,-0.018292682926829285,161.0,-0.018292682926829285
111,https://www.traders.co.jp/stocks/62_6786/,ＲＶＨ,6786,77,,1.23,1950000000,25000000,0.8415,74.0,-0.038961038961038974,81.0,0.051948051948051965
112,https://www.traders.co.jp/stocks/62_6803/,ティアック,6803,114,16.57,1.1,3327000000,29000000,0.24480000000000002,120.0,0.05263157894736836,115.0,0.00877192982456143
113,https://www.traders.co.jp/stocks/62_6819/,伊豆シャボテンリゾート,6819,146,15.44,1.33,4018000000,29000000,0.7415,109.0,-0.2534246575342466,129.0,-0.11643835616438358
114,https://www.traders.co.jp/stocks/62_6835/,アライドテレシスホールディングス,6835,94,1.83,0.75,10973000000,110000000,0.2125,98.0,0.042553191489361764,94.0,0.0
115,https://www.traders.co.jp/stocks/62_6993/,大黒屋ホールディングス,6993,59,,10.87,7019000000,117000000,0.1161,56.0,-0.05084745762711862,58.0,-0.016949152542372836
116,https://www.traders.co.jp/stocks/62_7022/,サノヤスホールディングス,7022,125,13.7,0.59,4116000000,34000000,0.3062,126.0,0.008000000000000007,123.0,-0.016000000000000014
117,https://www.traders.co.jp/stocks/62_7111/,ＩＮＥＳＴ,7111,62,27.73,,4161000000,91000000,,,,,
118,https://www.traders.co.jp/stocks/61_7238/,曙ブレーキ工業,7238,162,218.67,0.48,22303000000,136000000,0.3049,163.0,0.006172839506172867,170.0,0.04938271604938271
119,https://www.traders.co.jp/stocks/61_7256/,河西工業,7256,191,,0.33,7586000000,40000000,0.1563,254.0,0.32984293193717273,204.0,0.0680628272251309
120,https://www.traders.co.jp/stocks/61_7527/,システムソフト,7527,103,,1.45,8483000000,85000000,0.7762,102.0,-0.009708737864077666,102.0,-0.009708737864077666
